0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
14.8,36.3,49.9,57.8,62.7,66.1,68.6,70.6,72.2,73.6,74.8,75.8,76.7,77.6,78.3,79.0,79.6,80.1,80.7,81.1,81.6,82.0,82.4,82.7,83.0,83.4,83.7,83.9,84.2,84.4,84.7,84.9,85.1,85.3,85.5,85.7,85.9,86.1,86.2,86.4,86.6,86.7,86.9,87.0,87.1,87.3,87.4,87.5,87.6,87.7
4.4,14.8,26.4,36.3,44.1,49.9,54.4,57.8,60.5,62.7,64.5,66.1,67.4,68.6,69.6,70.6,71.4,72.2,72.9,73.6,74.2,74.8,75.3,75.8,76.3,76.7,77.2,77.6,77.9,78.3,78.6,79.0,79.3,79.6,79.9,80.1,80.4,80.7,80.9,81.1,81.3,81.6,81.8,82.0,82.2,82.4,82.5,82.7,82.9,83.0
2.0,7.5,14.8,22.6,29.9,36.3,41.7,46.2,49.9,53.0,55.6,57.8,59.7,61.3,62.7,64.0,65.1,66.1,67.0,67.8,68.6,69.3,70.0,70.6,71.2,71.7,72.2,72.7,73.2,73.6,74.0,74.4,74.8,75.1,75.5,75.8,76.1,76.4,76.7,77.0,77.3,77.6,77.8,78.1,78.3,78.5,78.8,79.0,79.2,79.4
1.2,4.4,9.2,14.8,20.7,26.4,31.6,36.3,40.5,44.1,47.2,49.9,52.3,54.4,56.2,57.8,59.2,60.5,61.7,62.7,63.7,64.5,65.3,66.1,66.8,67.4,68.0,68.6,69.1,69.6,70.1,70.6,71.0,71.4,71.8,72.2,72.6,72.9,73.3,73.6,73.9,74.2,74.5,74.8,75.1,75.3,75.6,75.8,76.1,76.3
0.8,2.9,6.2,10.3,14.8,19.5,24.2,28.5,32.6,36.3,39.7,42.7,45.4,47.8,49.9,51.9,53.6,55.1,56.5,57.8,59.0,60.0,61.0,61.9,62.7,63.5,64.2,64.9,65.5,66.1,66.6,67.2,67.7,68.1,68.6,69.0,69.4,69.8,70.2,70.6,70.9,71.3,71.6,71.9,72.2,72.5,72.8,73.1,73.3,73.6
0.5,2.0,4.4,7.5,11.0,14.8,18.7,22.6,26.4,29.9,33.3,36.3,39.2,41.7,44.1,46.2,48.2,49.9,51.6,53.0,54.4,55.6,56.8,57.8,58.8,59.7,60.5,61.3,62.0,62.7,63.4,64.0,64.5,65.1,65.6,66.1,66.6,67.0,67.4,67.8,68.2,68.6,69.0,69.3,69.6,70.0,70.3,70.6,70.9,71.2
0.4,1.5,3.3,5.7,8.5,11.5,14.8,18.2,21.5,24.8,27.9,30.9,33.7,36.3,38.8,41.0,43.1,45.0,46.8,48.4,49.9,51.3,52.6,53.8,54.9,56.0,56.9,57.8,58.6,59.4,60.2,60.9,61.5,62.1,62.7,63.3,63.8,64.3,64.8,65.2,65.7,66.1,66.5,66.9,67.2,67.6,67.9,68.3,68.6,68.9
0.3,1.2,2.6,4.4,6.7,9.2,12.0,14.8,17.8,20.7,23.6,26.4,29.1,31.6,34.1,36.3,38.5,40.5,42.3,44.1,45.7,47.2,48.6,49.9,51.2,52.3,53.4,54.4,55.3,56.2,57.0,57.8,58.5,59.2,59.9,60.5,61.1,61.7,62.2,62.7,63.2,63.7,64.1,64.5,64.9,65.3,65.7,66.1,66.4,66.8
0.2,0.9,2.0,3.5,5.4,7.5,9.8,12.3,14.8,17.4,20.1,22.6,25.2,27.6,29.9,32.2,34.3,36.3,38.2,40.0,41.7,43.3,44.8,46.2,47.5,48.8,49.9,51.0,52.1,53.0,53.9,54.8,55.6,56.4,57.1,57.8,58.5,59.1,59.7,60.2,60.8,61.3,61.8,62.3,62.7,63.2,63.6,64.0,64.4,64.7
0.2,0.8,1.7,2.9,4.4,6.2,8.2,10.3,12.5,14.8,17.2,19.5,21.9,24.2,26.4,28.5,30.6,32.6,34.5,36.3,38.1,39.7,41.2,42.7,44.1,45.4,46.6,47.8,48.9,49.9,50.9,51.9,52.7,53.6,54.4,55.1,55.9,56.5,57.2,57.8,58.4,59.0,59.5,60.0,60.5,61.0,61.5,61.9,62.3,62.7
0.1,0.2,0.4,0.8,1.2,1.7,2.2,2.9,3.6,4.4,5.3,6.2,7.2,8.2,9.2,10.3,11.4,12.5,13.7,14.8,16.0,17.2,18.4,19.5,20.7,21.9,23.0,24.2,25.3,26.4,27.5,28.5,29.6,30.6,31.6,32.6,33.6,34.5,35.4,36.3,37.2,38.1,38.9,39.7,40.5,41.2,42.0,42.7,43.4,44.1
0.0,0.1,0.2,0.3,0.5,0.8,1.0,1.3,1.7,2.0,2.5,2.9,3.4,3.9,4.4,5.0,5.6,6.2,6.8,7.5,8.2,8.9,9.6,10.3,11.0,11.8,12.5,13.3,14.1,14.8,15.6,16.4,17.2,18.0,18.7,19.5,20.3,21.1,21.9,22.6,23.4,24.2,24.9,25.6,26.4,27.1,27.8,28.5,29.2,29.9
0.0,0.1,0.1,0.2,0.3,0.4,0.6,0.8,1.0,1.2,1.4,1.7,1.9,2.2,2.6,2.9,3.3,3.6,4.0,4.4,4.8,5.3,5.7,6.2,6.7,7.2,7.6,8.2,8.7,9.2,9.7,10.3,10.8,11.4,12.0,12.5,13.1,13.7,14.2,14.8,15.4,16.0,16.6,17.2,17.8,18.4,18.9,19.5,20.1,20.7
0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1.1,1.3,1.5,1.7,1.9,2.1,2.4,2.6,2.9,3.2,3.5,3.8,4.1,4.4,4.8,5.1,5.5,5.8,6.2,6.6,7.0,7.3,7.7,8.2,8.6,9.0,9.4,9.8,10.3,10.7,11.2,11.6,12.1,12.5,13.0,13.4,13.9,14.4,14.8
0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.6,0.8,0.9,1.0,1.2,1.3,1.5,1.7,1.9,2.0,2.2,2.5,2.7,2.9,3.1,3.4,3.6,3.9,4.2,4.4,4.7,5.0,5.3,5.6,5.9,6.2,6.5,6.8,7.2,7.5,7.8,8.2,8.5,8.9,9.2,9.6,9.9,10.3,10.6,11.0
0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.4,1.5,1.7,1.8,2.0,2.2,2.3,2.5,2.7,2.9,3.1,3.3,3.5,3.7,4.0,4.2,4.4,4.7,4.9,5.2,5.4,5.7,5.9,6.2,6.5,6.7,7.0,7.3,7.6,7.9,8.2,8.5
0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.7,1.8,1.9,2.1,2.2,2.4,2.6,2.7,2.9,3.1,3.3,3.4,3.6,3.8,4.0,4.2,4.4,4.6,4.8,5.1,5.3,5.5,5.7,6.0,6.2,6.4,6.7
0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.7,1.8,1.9,2.0,2.2,2.3,2.5,2.6,2.7,2.9,3.1,3.2,3.4,3.5,3.7,3.9,4.1,4.2,4.4,4.6,4.8,5.0,5.2,5.4
0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.4,2.5,2.6,2.8,2.9,3.0,3.2,3.3,3.5,3.6,3.8,3.9,4.1,4.3,4.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1.0,1.0,1.0,1.1,1.1,1.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
